
 ============================>     TALLY 1     <============================

 Mesh Index (1, 1, 1)
   Incoming Energy [0.0, 6.25000E-06)
       Y2,2 Flux Moment                     -2.86600E-05   +/- 1.42365E-05
       Y3,-3 Flux Moment                    6.73762E-07    +/- 1.19396E-05
       Y3,-2 Flux Moment                    -1.15370E-06   +/- 2.35356E-06
       Y3,-1 Flux Moment                    -2.13441E-05   +/- 1.06349E-05
       Y3,0 Flux Moment                     9.44860E-04    +/- 1.85036E-06
       Y3,1 Flux Moment                     -7.40296E-06   +/- 1.06291E-05
       Y3,2 Flux Moment                     2.73769E-06    +/- 2.34557E-06
       Y3,3 Flux Moment                     -7.32370E-06   +/- 1.22219E-05
       Y0,0 Total Reaction Rate Moment      0.119506       +/- 2.31477E-05
       Y1,-1 Total Reaction Rate Moment     2.87142E-05    +/- 1.04442E-05
       Y1,0 Total Reaction Rate Moment      -1.43921E-03   +/- 4.23896E-06
       Y1,1 Total Reaction Rate Moment      1.45358E-05    +/- 1.01547E-05
       Y2,-2 Total Reaction Rate Moment     -9.70067E-06   +/- 8.07196E-06
       Y2,-1 Total Reaction Rate Moment     1.71487E-06    +/- 3.71111E-06
       Y2,0 Total Reaction Rate Moment      2.12403E-03    +/- 7.54455E-06
       Y2,1 Total Reaction Rate Moment      -4.38417E-06   +/- 3.69448E-06
       Y2,2 Total Reaction Rate Moment      -1.23803E-05   +/- 8.15981E-06
       Y3,-3 Total Reaction Rate Moment     -3.64022E-06   +/- 6.95712E-06
       Y3,-2 Total Reaction Rate Moment     -5.21611E-06   +/- 3.26726E-06
       Y3,-1 Total Reaction Rate Moment     -1.52233E-05   +/- 6.20581E-06
       Y3,0 Total Reaction Rate Moment      5.43999E-04    +/- 3.10329E-06
       Y3,1 Total Reaction Rate Moment      8.25412E-07    +/- 6.19610E-06
       Y3,2 Total Reaction Rate Moment      4.28862E-06    +/- 3.27745E-06
       Y3,3 Total Reaction Rate Moment      2.57045E-06    +/- 7.04418E-06
   Incoming Energy [1.01200E-04, 5.00000E-02)
     Total Material
       Y0,0 Flux Moment                     1.13733        +/- 1.03985E-04
       Y1,-1 Flux Moment                    7.17205E-05    +/- 4.19963E-05
       Y1,0 Flux Moment                     -2.15829E-03   +/- 1.17427E-06
       Y1,1 Flux Moment                     -3.46695E-06   +/- 4.23971E-05
       Y2,-2 Flux Moment                    -1.28116E-05   +/- 3.25662E-05
       Y2,-1 Flux Moment                    -2.68025E-06   +/- 5.41991E-06
       Y2,0 Flux Moment                     1.94371E-03    +/- 2.99326E-05
       Y2,1 Flux Moment                     7.73573E-06    +/- 5.44455E-06
       Y2,2 Flux Moment                     2.11353E-05    +/- 3.26151E-05
       Y3,-3 Flux Moment                    2.88274E-05    +/- 2.84088E-05
       Y3,-2 Flux Moment                    7.14650E-06    +/- 5.45379E-06
       Y3,-1 Flux Moment                    -2.26089E-06   +/- 2.49287E-05
       Y3,0 Flux Moment                     9.23913E-04    +/- 4.25485E-06
       Y3,1 Flux Moment                     2.52314E-06    +/- 2.47978E-05
       Y3,2 Flux Moment                     -1.33449E-06   +/- 5.37386E-06
       Y3,3 Flux Moment                     -1.44796E-05   +/- 2.81407E-05
       Y0,0 Total Reaction Rate Moment      0.572655       +/- 5.33919E-05
       Y1,-1 Total Reaction Rate Moment     2.94693E-05    +/- 2.17125E-05
       Y1,0 Total Reaction Rate Moment      -2.67627E-03   +/- 4.61101E-06
       Y1,1 Total Reaction Rate Moment      -7.66074E-06   +/- 2.16713E-05
       Y2,-2 Total Reaction Rate Moment     -1.81599E-05   +/- 1.67698E-05
       Y2,-1 Total Reaction Rate Moment     -5.01432E-07   +/- 4.91453E-06
       Y2,0 Total Reaction Rate Moment      3.06728E-03    +/- 1.54427E-05
       Y2,1 Total Reaction Rate Moment      2.01352E-06    +/- 4.86455E-06
       Y2,2 Total Reaction Rate Moment      1.61742E-05    +/- 1.68631E-05
       Y3,-3 Total Reaction Rate Moment     1.13618E-05    +/- 1.46231E-05
       Y3,-2 Total Reaction Rate Moment     -1.19773E-06   +/- 4.51377E-06
       Y3,-1 Total Reaction Rate Moment     -2.87861E-06   +/- 1.27756E-05
